dataset,group,query_no,query,tsunami_ms,tsunami_answer,numpy_ms,numpy_answer,bruteforce_ms,bruteforce_answer,speedup_x,scan_pct,match
california,A_nearby,1,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale',9.8622,227.0,158.6265,227,170.0002,227.0,17.24,0.6,PASS
california,A_nearby,2,SELECT COUNT(*) FROM data WHERE place = 'Mountain View',7.6372,249.0,168.3223,249,159.3614,249.0,20.87,0.41,PASS
california,A_nearby,3,SELECT COUNT(*) FROM data WHERE place = 'Palo Alto',17.2447,254.0,166.8987,254,152.0241,254.0,8.82,0.59,PASS
california,A_nearby,4,SELECT COUNT(*) FROM data WHERE place = 'Cupertino',16.8887,184.0,167.1283,184,161.6655,184.0,9.57,0.96,PASS
california,A_nearby,5,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedInc >= 5.0,9.0233,32.0,170.0244,32,159.4528,32.0,17.67,0.6,PASS
california,A_nearby,6,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedInc >= 7.0,8.5474,15.0,158.1668,15,158.0725,15.0,18.49,0.6,PASS
california,A_nearby,7,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedInc >= 9.0,10.0872,9.0,162.714,9,152.5313,9.0,15.12,0.6,PASS
california,A_nearby,8,SELECT COUNT(*) FROM data WHERE place = 'Mountain View' AND MedInc >= 5.0,7.4562,53.0,165.2792,53,163.8928,53.0,21.98,0.41,PASS
california,A_nearby,9,SELECT COUNT(*) FROM data WHERE place = 'Mountain View' AND MedInc >= 8.0,8.6587,16.0,152.4698,16,153.3893,16.0,17.71,0.41,PASS
california,A_nearby,10,SELECT COUNT(*) FROM data WHERE place = 'Palo Alto' AND MedInc >= 6.0,17.9932,36.0,172.8752,36,145.4594,36.0,8.08,0.59,PASS
california,A_nearby,11,SELECT COUNT(*) FROM data WHERE place = 'Palo Alto' AND MedInc >= 9.0,12.0107,9.0,172.4511,9,155.4946,9.0,12.95,0.59,PASS
california,A_nearby,12,SELECT COUNT(*) FROM data WHERE place = 'Palo Alto' AND MedInc >= 11.0,12.9057,3.0,158.6196,3,160.3818,3.0,12.43,0.59,PASS
california,A_nearby,13,SELECT COUNT(*) FROM data WHERE place = 'Cupertino' AND MedInc >= 6.0,13.2222,15.0,175.5842,15,153.1384,15.0,11.58,0.96,PASS
california,A_nearby,14,SELECT COUNT(*) FROM data WHERE place = 'Cupertino' AND MedInc >= 9.0,14.0352,2.0,173.9169,2,163.1725,2.0,11.63,0.96,PASS
california,A_nearby,15,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedInc BETWEEN 4.0 AND 7.0,7.0281,44.0,152.6391,44,172.6498,44.0,24.57,0.6,PASS
california,A_nearby,16,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedInc BETWEEN 7.0 AND 11.0,8.3957,8.0,161.9448,8,147.7831,8.0,17.6,0.6,PASS
california,A_nearby,17,SELECT COUNT(*) FROM data WHERE place = 'Mountain View' AND MedInc BETWEEN 5.0 AND 9.0,8.2336,40.0,165.1699,40,156.1354,40.0,18.96,0.41,PASS
california,A_nearby,18,SELECT COUNT(*) FROM data WHERE place = 'Palo Alto' AND MedInc BETWEEN 6.0 AND 12.0,19.1612,35.0,178.2639,35,153.8795,35.0,8.03,0.59,PASS
california,A_nearby,19,SELECT COUNT(*) FROM data WHERE place = 'Cupertino' AND MedInc BETWEEN 5.0 AND 10.0,15.2434,22.0,165.5441,22,178.2773,22.0,11.7,0.96,PASS
california,A_nearby,20,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedHouseVal >= 3.0,6.3056,32.0,154.6447,32,149.6423,32.0,23.73,0.6,PASS
california,A_nearby,21,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedHouseVal >= 4.0,10.1387,14.0,187.0164,14,166.6661,14.0,16.44,0.6,PASS
california,A_nearby,22,SELECT COUNT(*) FROM data WHERE place = 'Mountain View' AND MedHouseVal >= 3.5,7.2062,38.0,176.7411,38,155.5094,38.0,21.58,0.41,PASS
california,A_nearby,23,SELECT COUNT(*) FROM data WHERE place = 'Palo Alto' AND MedHouseVal >= 4.0,13.0731,25.0,162.841,25,150.8405,25.0,11.54,0.59,PASS
california,A_nearby,24,SELECT COUNT(*) FROM data WHERE place = 'Palo Alto' AND MedHouseVal >= 4.5,13.2357,21.0,162.5762,21,168.8978,21.0,12.76,0.59,PASS
california,A_nearby,25,SELECT COUNT(*) FROM data WHERE place = 'Cupertino' AND MedHouseVal BETWEEN 3.0 AND 5.0,12.326,25.0,157.1132,25,152.8486,25.0,12.4,0.96,PASS
california,A_nearby,26,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedHouseVal BETWEEN 2.5 AND 4.5,7.1217,37.0,160.164,37,147.7796,37.0,20.75,0.6,PASS
california,A_nearby,27,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND HouseAge <= 10,2.5879,32.0,155.2919,32,150.2229,32.0,58.05,0.15,PASS
california,A_nearby,28,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND HouseAge <= 20,7.0588,85.0,156.4675,85,152.0858,85.0,21.55,0.3,PASS
california,A_nearby,29,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND HouseAge BETWEEN 10 AND 30,6.9869,94.0,151.4672,94,152.3355,94.0,21.8,0.45,PASS
california,A_nearby,30,SELECT COUNT(*) FROM data WHERE place = 'Palo Alto' AND HouseAge >= 40,2.4044,70.0,155.3259,70,184.1246,70.0,76.58,0.15,PASS
california,A_nearby,31,SELECT COUNT(*) FROM data WHERE place = 'Mountain View' AND HouseAge BETWEEN 20 AND 40,6.1538,97.0,153.1823,97,157.404,97.0,25.58,0.31,PASS
california,A_nearby,32,SELECT COUNT(*) FROM data WHERE place = 'Cupertino' AND HouseAge <= 15,10.2098,48.0,164.5714,48,162.8067,48.0,15.95,0.49,PASS
california,A_nearby,33,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND AveRooms BETWEEN 5.0 AND 8.0,7.2634,0.0,155.859,81,147.5499,81.0,20.31,0.0,FAIL
california,A_nearby,34,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND AveRooms >= 6.0 AND AveBedrms <= 1.5,8.7676,0.0,167.1915,27,162.3153,27.0,18.51,0.0,FAIL
california,A_nearby,35,SELECT COUNT(*) FROM data WHERE place = 'Palo Alto' AND AveRooms >= 7.0,10.3851,0.0,162.7226,58,145.8095,58.0,14.04,0.0,FAIL
california,A_nearby,36,SELECT COUNT(*) FROM data WHERE place = 'Mountain View' AND AveRooms BETWEEN 4.0 AND 7.0 AND AveBedrms BETWEEN 1.0 AND 1.8,8.4045,113.0,152.4882,113,149.9045,113.0,17.84,0.37,PASS
california,A_nearby,37,SELECT COUNT(*) FROM data WHERE place = 'Cupertino' AND AveRooms >= 6.0 AND AveBedrms BETWEEN 1.0 AND 2.0,10.3072,0.0,167.1082,51,151.3508,51.0,14.68,0.0,FAIL
california,A_nearby,38,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND AveOccup <= 2.5,8.9011,88.0,159.3451,88,150.9516,88.0,16.96,0.3,PASS
california,A_nearby,39,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND AveOccup <= 3.0,8.4729,117.0,147.7706,117,140.6825,117.0,16.6,0.3,PASS
california,A_nearby,40,SELECT COUNT(*) FROM data WHERE place = 'Palo Alto' AND AveOccup <= 2.0,10.0808,52.0,158.0986,52,151.6968,52.0,15.05,0.15,PASS
california,A_nearby,41,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND Population BETWEEN 200 AND 2000,7.5989,164.0,153.8982,164,157.9985,164.0,20.79,0.6,PASS
california,A_nearby,42,SELECT COUNT(*) FROM data WHERE place = 'Mountain View' AND Population BETWEEN 500 AND 3000,8.0194,119.0,158.7593,119,147.4635,119.0,18.39,0.31,PASS
california,A_nearby,43,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedInc >= 7.0 AND MedHouseVal >= 3.0,11.4126,15.0,155.4301,15,148.8214,15.0,13.04,0.6,PASS
california,A_nearby,44,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedInc >= 8.0 AND MedHouseVal >= 4.0,9.342,10.0,175.1139,10,148.4808,10.0,15.89,0.6,PASS
california,A_nearby,45,SELECT COUNT(*) FROM data WHERE place = 'Palo Alto' AND MedInc >= 9.0 AND MedHouseVal >= 4.0,27.4486,9.0,165.0955,9,150.6634,9.0,5.49,0.59,PASS
