dataset,group,query_no,query,tsunami_ms,tsunami_answer,numpy_ms,numpy_answer,zorder_ms,zorder_answer,bruteforce_ms,bruteforce_answer,speedup_x,scan_pct,match
california_real,A_nearby,1,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale',31.5712,14296.0,187.4444,14296,130.2451,14296,178.0323,14296.0,5.64,10.7,PASS
california_real,A_nearby,2,SELECT COUNT(*) FROM data WHERE place = 'Mountain View',39.1816,13899.0,179.9406,13899,154.7727,13899,168.5038,13899.0,4.3,10.7,PASS
california_real,A_nearby,3,SELECT COUNT(*) FROM data WHERE place = 'Palo Alto',17.0748,11047.0,181.7941,11047,134.4946,11047,184.5263,11047.0,10.81,7.04,PASS
california_real,A_nearby,4,SELECT COUNT(*) FROM data WHERE place = 'Cupertino',30.5172,11571.0,172.2591,11571,144.9597,11571,165.8959,11571.0,5.44,10.7,PASS
california_real,A_nearby,5,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedInc >= 5.0,10.1495,6791.0,170.5401,6791,143.6386,6791,179.8582,6791.0,17.72,3.38,PASS
california_real,A_nearby,6,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedInc >= 7.0,9.7773,2271.0,173.1616,2271,152.9208,2271,192.2939,2271.0,19.67,3.38,PASS
california_real,A_nearby,7,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedInc >= 9.0,7.9755,424.0,183.8302,424,126.8717,424,188.9286,424.0,23.69,3.38,PASS
california_real,A_nearby,8,SELECT COUNT(*) FROM data WHERE place = 'Mountain View' AND MedInc >= 5.0,7.8263,6939.0,193.7105,6939,143.9959,6939,182.6052,6939.0,23.33,3.38,PASS
california_real,A_nearby,9,SELECT COUNT(*) FROM data WHERE place = 'Mountain View' AND MedInc >= 8.0,9.5843,1590.0,171.0457,1590,114.6246,1590,165.1728,1590.0,17.23,3.38,PASS
california_real,A_nearby,10,SELECT COUNT(*) FROM data WHERE place = 'Palo Alto' AND MedInc >= 6.0,6.6896,4227.0,158.7908,4227,157.6143,4227,180.5992,4227.0,27.0,3.38,PASS
california_real,A_nearby,11,SELECT COUNT(*) FROM data WHERE place = 'Palo Alto' AND MedInc >= 9.0,15.9068,1180.0,210.7782,1180,114.431,1180,189.1218,1180.0,11.89,3.38,PASS
california_real,A_nearby,12,SELECT COUNT(*) FROM data WHERE place = 'Palo Alto' AND MedInc >= 11.0,7.585,429.0,210.3816,429,116.0801,429,175.7794,429.0,23.17,3.38,PASS
california_real,A_nearby,13,SELECT COUNT(*) FROM data WHERE place = 'Cupertino' AND MedInc >= 6.0,8.7108,5501.0,177.5709,5501,141.6404,5501,161.3058,5501.0,18.52,3.38,PASS
california_real,A_nearby,14,SELECT COUNT(*) FROM data WHERE place = 'Cupertino' AND MedInc >= 9.0,6.8747,1067.0,174.7161,1067,148.5941,1067,176.4259,1067.0,25.66,3.38,PASS
california_real,A_nearby,15,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedInc BETWEEN 4.0 AND 7.0,6.7539,8840.0,184.1559,8840,135.0747,8840,158.5812,8840.0,23.48,3.38,PASS
california_real,A_nearby,16,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedInc BETWEEN 7.0 AND 11.0,6.9314,2218.0,161.4654,2218,133.1,2218,166.4437,2218.0,24.01,3.38,PASS
