dataset,group,query_no,query,tsunami_ms,tsunami_answer,numpy_ms,numpy_answer,bruteforce_ms,bruteforce_answer,speedup_x,scan_pct,match
covtype,A_nearby,1,SELECT COUNT(*) FROM data WHERE Elevation > 3400,23.6456,35439.0,207.7085,35439,180.8839,35439.0,7.65,8.98,PASS
covtype,A_nearby,2,SELECT COUNT(*) FROM data WHERE Elevation > 3500,20.05,7725.0,187.4594,7725,188.5717,7725.0,9.41,8.98,PASS
covtype,A_nearby,3,SELECT COUNT(*) FROM data WHERE Elevation BETWEEN 3400 AND 3858,20.566,35436.0,193.9134,35436,199.4922,35436.0,9.7,8.98,PASS
covtype,A_nearby,4,SELECT COUNT(*) FROM data WHERE Slope > 20,97.3573,386857.0,225.5221,386857,183.7905,386857.0,1.89,30.69,PASS
covtype,A_nearby,5,SELECT COUNT(*) FROM data WHERE Slope > 25,117.5145,178848.0,233.051,178848,185.3976,178848.0,1.58,30.69,PASS
covtype,A_nearby,6,SELECT COUNT(*) FROM data WHERE Hillshade_9am < 200,324.804,518943.0,207.764,518943,180.1378,518943.0,0.55,93.3,PASS
covtype,A_nearby,7,SELECT COUNT(*) FROM data WHERE Horiz_Dist_Roadways > 2000,235.4473,1035968.0,251.7018,1035968,179.1885,1035968.0,0.76,68.5,PASS
covtype,A_nearby,8,SELECT COUNT(*) FROM data WHERE Elevation > 3400 AND Slope > 20,10.3374,7721.0,187.9633,7721,179.4627,7721.0,17.36,3.4,PASS
covtype,A_nearby,9,SELECT COUNT(*) FROM data WHERE Elevation > 3500 AND Slope > 25,8.0777,931.0,190.3034,931,174.388,931.0,21.59,3.4,PASS
covtype,A_nearby,10,SELECT COUNT(*) FROM data WHERE Elevation BETWEEN 3400 AND 3858 AND Slope > 20,7.6978,7721.0,183.3585,7721,185.8372,7721.0,24.14,3.4,PASS
covtype,A_nearby,11,SELECT COUNT(*) FROM data WHERE Elevation > 3400 AND Hillshade_9am < 200,19.646,11063.0,183.4986,11063,180.5586,11063.0,9.19,7.99,PASS
covtype,A_nearby,12,SELECT COUNT(*) FROM data WHERE Elevation > 3400 AND Horiz_Dist_Roadways > 2000,8.8094,24011.0,191.8956,24011,183.8428,24011.0,20.87,3.75,PASS
covtype,A_nearby,13,SELECT COUNT(*) FROM data WHERE Slope > 20 AND Hillshade_9am < 200,93.5752,191482.0,193.7963,191482,172.6111,191482.0,1.84,29.33,PASS
covtype,A_nearby,14,SELECT COUNT(*) FROM data WHERE Elevation > 3400 AND Hillshade_Noon < 210,10.2703,8655.0,182.8818,8655,170.8407,8655.0,16.63,4.9,PASS
covtype,A_nearby,15,SELECT COUNT(*) FROM data WHERE Slope > 25 AND Horiz_Dist_Roadways > 2000,53.292,53707.0,193.6404,53707,186.2914,53707.0,3.5,17.55,PASS
covtype,A_nearby,16,SELECT COUNT(*) FROM data WHERE Elevation > 3500 AND Hillshade_9am < 200,19.6957,2330.0,200.0836,2330,210.74,2330.0,10.7,7.99,PASS
covtype,A_nearby,17,SELECT COUNT(*) FROM data WHERE Elevation > 3400 AND Horiz_Dist_Hydrology > 400,16.0324,22762.0,212.6244,22762,186.8244,22762.0,11.65,5.59,PASS
covtype,A_nearby,18,SELECT COUNT(*) FROM data WHERE Elevation > 3400 AND Slope > 20 AND Hillshade_9am < 200,5.8529,3287.0,199.3059,3287,192.346,3287.0,32.86,2.41,PASS
covtype,A_nearby,19,SELECT COUNT(*) FROM data WHERE Elevation > 3500 AND Slope > 25 AND Horiz_Dist_Roadways > 2000,3.5542,922.0,192.1816,922,189.0026,922.0,53.18,1.42,PASS
covtype,A_nearby,20,SELECT COUNT(*) FROM data WHERE Elevation BETWEEN 3400 AND 3858 AND Slope > 20 AND Hillshade_Noon < 210,4.266,4771.0,196.7932,4771,196.4042,4771.0,46.04,1.75,PASS
covtype,A_nearby,21,SELECT COUNT(*) FROM data WHERE Elevation > 3400 AND Slope > 20 AND Horiz_Dist_Roadways > 2000,5.0982,6479.0,195.2017,6479,203.6777,6479.0,39.95,1.42,PASS
covtype,A_nearby,22,SELECT COUNT(*) FROM data WHERE Elevation > 3400 AND Hillshade_9am < 200 AND Horiz_Dist_Roadways > 2000,8.8558,7449.0,199.5864,7449,186.3138,7449.0,21.04,3.75,PASS
covtype,A_nearby,23,SELECT COUNT(*) FROM data WHERE Elevation > 3400 AND Slope > 20 AND Hillshade_9am < 200 AND Horiz_Dist_Roadways > 2000,3.0759,2529.0,194.983,2529,184.5265,2529.0,59.99,1.42,PASS
covtype,A_nearby,24,SELECT COUNT(*) FROM data WHERE Elevation > 3500 AND Slope > 25 AND Hillshade_9am < 200 AND Horiz_Dist_Fire_Points > 1500,3.994,97.0,203.206,97,195.7983,97.0,49.02,1.79,PASS
covtype,A_nearby,25,SELECT AVG(Elevation) FROM data WHERE Slope > 20 AND Hillshade_9am < 200,112.3417,2768.6889,206.9215,2768.6889,189.5721,2768.6889,1.69,29.33,PASS
covtype,A_nearby,26,SELECT AVG(Slope) FROM data WHERE Elevation > 3400 AND Horiz_Dist_Roadways > 2000,9.1961,16.3674,199.3122,16.3674,206.6805,16.3674,22.47,3.75,PASS
covtype,A_nearby,27,SELECT AVG(Hillshade_9am) FROM data WHERE Elevation > 3400 AND Slope > 20,10.6474,202.2807,196.4883,202.2807,197.0426,202.2807,18.51,3.4,PASS
covtype,A_nearby,28,SELECT AVG(Horiz_Dist_Hydrology) FROM data WHERE Elevation > 3400 AND Slope > 20,9.3578,452.6656,206.9277,452.6656,207.4759,452.6656,22.17,3.4,PASS
covtype,A_nearby,29,SELECT AVG(Elevation) FROM data WHERE Elevation > 3400 AND Slope > 20 AND Hillshade_9am < 200,5.9063,3459.0188,196.7101,3459.0188,203.8583,3459.0188,34.52,2.41,PASS
covtype,A_nearby,30,SELECT AVG(Hillshade_Noon) FROM data WHERE Elevation > 3500 AND Slope > 25 AND Horiz_Dist_Roadways > 2000,5.8898,189.4856,204.8172,189.4856,209.5726,189.4856,35.58,1.42,PASS
covtype,A_nearby,31,SELECT AVG(Slope) FROM data WHERE Elevation > 3400 AND Hillshade_9am < 200 AND Horiz_Dist_Roadways > 2000,7.7487,18.4782,205.9859,18.4782,207.3952,18.4782,26.77,3.75,PASS
covtype,A_nearby,32,SELECT AVG(Elevation) FROM data WHERE Elevation > 3400 AND Slope > 20 AND Hillshade_9am < 200 AND Horiz_Dist_Roadways > 2000,3.4058,3464.0005,191.6144,3464.0005,216.2711,3464.0005,63.5,1.42,PASS
covtype,A_nearby,33,SELECT SUM(Horiz_Dist_Roadways) FROM data WHERE Elevation > 3400 AND Slope > 20,14.3665,20839196.1594,226.2876,20839196.1594,212.2724,20839196.1594,14.78,3.4,PASS
covtype,A_nearby,34,SELECT SUM(Horiz_Dist_Hydrology) FROM data WHERE Elevation > 3400 AND Hillshade_9am < 200,19.2944,5805621.5614,226.5768,5805621.5614,185.2624,5805621.5614,9.6,7.99,PASS
covtype,A_nearby,35,SELECT SUM(Horiz_Dist_Roadways) FROM data WHERE Elevation > 3400 AND Slope > 20 AND Hillshade_9am < 200,6.3615,9308731.3671,197.9858,9308731.3671,191.8378,9308731.3671,30.16,2.41,PASS
