dataset,group,query_no,query,tsunami_ms,tsunami_answer,numpy_ms,numpy_answer,bruteforce_ms,bruteforce_answer,speedup_x,scan_pct,match
nyc_taxi_real,A_nearby,1,SELECT COUNT(*) FROM data WHERE fare_amount > 40,28.1392,86119.0,84.9247,86119,104.6581,86119.0,3.72,8.08,PASS
nyc_taxi_real,A_nearby,2,SELECT COUNT(*) FROM data WHERE fare_amount > 45,23.6623,70103.0,94.6245,70103,113.7404,70103.0,4.81,8.08,PASS
nyc_taxi_real,A_nearby,3,SELECT COUNT(*) FROM data WHERE fare_amount BETWEEN 40 AND 90,38.2009,84140.0,118.7958,84140,143.7472,84140.0,3.76,8.01,PASS
nyc_taxi_real,A_nearby,4,SELECT COUNT(*) FROM data WHERE trip_distance > 10,60.4876,120609.0,143.0515,120609,123.6465,120609.0,2.04,9.0,PASS
nyc_taxi_real,A_nearby,5,SELECT COUNT(*) FROM data WHERE trip_distance > 12,58.1513,80969.0,100.0395,80969,84.5676,80969.0,1.45,9.0,PASS
nyc_taxi_real,A_nearby,6,SELECT COUNT(*) FROM data WHERE trip_distance BETWEEN 10 AND 30,35.9666,119859.0,109.5241,119859,81.4185,119859.0,2.26,8.97,PASS
nyc_taxi_real,A_nearby,7,SELECT COUNT(*) FROM data WHERE total_amount > 50,70.9828,88073.0,90.4485,88073,81.3056,88073.0,1.15,27.13,PASS
nyc_taxi_real,A_nearby,8,SELECT COUNT(*) FROM data WHERE fare_amount > 40 AND trip_distance > 10,16.5869,77892.0,80.0464,77892,81.3333,77892.0,4.9,4.48,PASS
nyc_taxi_real,A_nearby,9,SELECT COUNT(*) FROM data WHERE fare_amount > 45 AND trip_distance > 12,21.0707,62182.0,99.1802,62182,91.8585,62182.0,4.36,4.48,PASS
nyc_taxi_real,A_nearby,10,SELECT COUNT(*) FROM data WHERE fare_amount BETWEEN 40 AND 90 AND trip_distance BETWEEN 10 AND 25,9.5789,75431.0,131.0328,75431,98.2124,75431.0,10.25,4.35,PASS
nyc_taxi_real,A_nearby,11,SELECT COUNT(*) FROM data WHERE fare_amount > 40 AND total_amount > 50,23.1492,77930.0,86.1198,77930,84.6537,77930.0,3.66,6.95,PASS
